entrezid1	entrezid2
7391	6277
7391	1843
7391	720
7391	19
7157	7161
7157	6477
7157	5366
7157	9538
7157	1026
7157	900
7157	581
7020	7422
7020	3842
7020	3728
6776	598
6774	9021
6772	9021
6722	2353
6667	7423
6667	5914
6667	5663
6667	4791
5970	7157
5970	5743
5970	4791
5970	3383
5970	2919
5970	6352
5468	10062
5468	4023
5468	1375
4790	7185
4790	7157
4790	5743
4790	4843
4790	4049
4790	3383
4790	2919
4790	958
4790	6352
4609	7490
4609	7417
4609	8615
4609	81567
4609	7706
4609	10221
4609	7150
4609	7042
4609	6723
4609	4088
4609	6522
4609	8501
4609	64116
4609	6493
4609	6146
4609	8731
4609	5792
4609	5728
4609	10197
4609	5478
4609	10622
4609	9972
4609	4917
4609	4893
4609	9572
4609	4869
4609	8996
4609	4831
4609	4817
4609	4719
4609	4691
4609	4524
4609	4478
4609	4144
4609	4000
4609	8570
4609	3336
4609	3329
4609	3313
4609	3178
4609	8841
4609	26354
4609	2729
4609	2581
4609	7458
4609	1975
4609	80344
4609	1201
4609	1185
4609	1019
4609	967
4609	10574
4609	595
4609	23468
4609	842
4609	790
4609	782
4609	593
4609	468
4609	271
4609	8165
4149	595
3725	6520
3725	4318
3725	3868
3725	1191
2353	3678
2002	2353
1958	6692
1869	7374
1869	5933
1869	5925
1869	5888
1869	23649
1869	5111
1869	4174
1869	4172
1869	1871
1869	1869
1869	1846
1869	993
1869	898
1869	23468
1869	6046
7528	741
7528	146542
7528	84146
7528	51545
7528	51157
7528	85460
7528	80778
7528	7569
7528	22882
7528	100873922
7528	7543
7528	84243
7528	9877
7528	100381270
7528	284273
7528	55432
7528	25844
7528	143570
7528	286046
7528	64743
7528	404201
7528	400673
7528	7392
7528	84747
7528	23190
7528	9690
7528	54926
7528	7317
7528	55000
7528	25987
7528	9320
7528	122553
7528	6434
7528	25941
7528	163590
7528	7156
7528	7134
7528	8269
7528	23505
7528	9874
7528	7072
7528	55145
7528	6925
7528	127428
7528	6916
7528	30851
7528	8148
7528	8189
7528	63826
7528	6670
7528	26816
7528	26817
7528	26819
7528	677820
7528	6616
7528	134549
7528	23450
7528	10291
7528	6418
7528	27230
7528	26135
7528	6237
7528	6234
7528	6233
7528	138716
7528	6132
7528	25873
7528	6165
7528	6156
7528	6155
7528	84268
7528	26001
7528	9699
7528	11079
7528	10181
7528	64062
7528	65059
7528	5901
7528	5885
7528	57403
7528	5872
7528	5757
7528	100885850
7528	100885848
7528	79810
7528	5691
7528	5689
7528	23215
7528	7916
7528	55119
7528	84950
7528	55370
7528	5520
7528	5515
7528	129285
7528	5478
7528	25885
7528	27343
7528	51426
7528	11331
7528	5116
7528	5093
7528	5090
7528	10204
7528	4802
7528	4795
7528	10725
7528	4758
7528	23154
7528	4678
7528	4666
7528	100506826
7528	4595
7528	4524
7528	51537
7528	57129
7528	4359
7528	90411
7528	26065
7528	27257
7528	730183
7528	100133315
7528	11133
7528	54813
7528	10112
7528	284058
7528	55677
7528	3698
7528	283899
7528	3421
7528	3320
7528	28996
7528	3091
7528	11147
7528	23438
7528	2976
7528	2960
7528	56834
7528	60313
7528	9453
7528	2664
7528	2597
7528	2595
7528	8811
7528	89792
7528	92579
7528	2272
7528	100505641
7528	2197
7528	57697
7528	2177
7528	143684
7528	54540
7528	56915
7528	347694
7528	51514
7528	10589
7528	165545
7528	22845
7528	1759
7528	1742
7528	1739
7528	28955
7528	10522
7528	1656
7528	54555
7528	79877
7528	124936
7528	1489
7528	58190
7528	10664
7528	1457
7528	51380
7528	1384
7528	245812
7528	4849
7528	4848
7528	123920
7528	1107
7528	400916
7528	10669
7528	9662
7528	1951
7528	997
7528	10693
7528	257236
7528	57828
7528	829
7528	158055
7528	29035
7528	689
7528	26580
7528	8019
7528	673
7528	23246
7528	126792
7528	51676
7528	64801
7528	372
7528	336
7528	51074
7528	8943
7528	59344
7528	79087
7528	84335
7528	55122
7528	10566
7528	9507
7528	84517
7528	93973
7528	10096
7528	37
7391	124626
7391	84858
7391	84217
7391	23503
7391	80829
7391	678
7391	84186
7391	9841
7391	78992
7391	80326
7391	124997
7391	340706
7391	79720
7391	65082
7391	9559
7391	64601
7391	55823
7391	9218
7391	55697
7391	27340
7391	51096
7391	8239
7391	7320
7391	7317
7391	81567
7391	284076
7391	7106
7391	7248
7391	54822
7391	27037
7391	4591
7391	7706
7391	146691
7391	10043
7391	7148
7391	641649
7391	134285
7391	10972
7391	7042
7391	54790
7391	7008
7391	6948
7391	9755
7391	9779
7391	10629
7391	6861
7391	11276
7391	10492
7391	285362
7391	201595
7391	3925
7391	8859
7391	8576
7391	6723
7391	140890
7391	8878
7391	283377
7391	9552
7391	6664
7391	6654
7391	9655
7391	29886
7391	692201
7391	25826
7391	26792
7391	26793
7391	692213
7391	677831
7391	619505
7391	6615
7391	8140
7391	6522
7391	64116
7391	23516
7391	153129
7391	206358
7391	9197
7391	92014
7391	91137
7391	9673
7391	51629
7391	81034
7391	6574
7391	6510
7391	6573
7391	201232
7391	6566
7391	9990
7391	22933
7391	23411
7391	25759
7391	54557
7391	118980
